      'CASE',      'RAD?',     'TRIM?',      'MACH',        'RE',       'ALT',         'Q',      'BETA',       'PHI',     'ALPHA',        'CL',        'CD',     'CL/CD'
1,0,0,1,5.30E+06,10000,1018.9186,0,0,-5,-1.066585,0.8069,-1.321830462
1,0,0,1.25,6.70E+06,10000,1592.0603,0,0,-5,-0.72423,0.6229,-1.162674587
1,0,0,1.5,8.00E+06,10000,2292.5669,0,0,-5,-0.723515,0.5777,-1.252406093
1,0,0,1.75,9.30E+06,10000,3120.4382,0,0,-5,-0.711815,0.5405,-1.316956522
1,0,0,2,1.10E+07,10000,4075.6743,0,0,-5,-0.70031,0.5089,-1.376124975
1,0,0,2.5,1.30E+07,10000,6368.2412,0,0,-5,-0.669045,0.4464,-1.49875672
1,0,0,3,1.60E+07,10000,9170.2676,0,0,-5,-0.642395,0.3915,-1.640855683
1,0,0,4,2.10E+07,10000,16302.6973,0,0,-5,-0.608205,0.3158,-1.925918303
1,0,0,1,5.30E+06,10000,1018.9186,0,0,-1,-0.19669,0.6675,-0.294666667
1,0,0,1.25,6.70E+06,10000,1592.0603,0,0,-1,-0.12246,0.5228,-0.234238715
1,0,0,1.5,8.00E+06,10000,2292.5669,0,0,-1,-0.1209,0.4767,-0.253618628
1,0,0,1.75,9.30E+06,10000,3120.4382,0,0,-1,-0.11856,0.4411,-0.268782589
1,0,0,2,1.10E+07,10000,4075.6743,0,0,-1,-0.116285,0.411,-0.282931873
1,0,0,2.5,1.30E+07,10000,6368.2412,0,0,-1,-0.10998,0.3526,-0.311911514
1,0,0,3,1.60E+07,10000,9170.2676,0,0,-1,-0.104585,0.3012,-0.347227756
1,0,0,4,2.10E+07,10000,16302.6973,0,0,-1,-0.09789,0.23,-0.425608696
1,0,0,1,5.30E+06,10000,1018.9186,0,0,0,0,0.6621,0
1,0,0,1.25,6.70E+06,10000,1592.0603,0,0,0,0,0.5192,0
1,0,0,1.5,8.00E+06,10000,2292.5669,0,0,0,0,0.4731,0
1,0,0,1.75,9.30E+06,10000,3120.4382,0,0,0,0,0.4376,0
1,0,0,2,1.10E+07,10000,4075.6743,0,0,0,0,0.4076,0
1,0,0,2.5,1.30E+07,10000,6368.2412,0,0,0,0,0.3494,0
1,0,0,3,1.60E+07,10000,9170.2676,0,0,0,0,0.2981,0
1,0,0,4,2.10E+07,10000,16302.6973,0,0,0,0,0.2271,0
1,0,0,1,5.30E+06,10000,1018.9186,0,0,1,0.19669,0.6675,0.294666667
1,0,0,1.25,6.70E+06,10000,1592.0603,0,0,1,0.12246,0.5228,0.234238715
1,0,0,1.5,8.00E+06,10000,2292.5669,0,0,1,0.1209,0.4767,0.253618628
1,0,0,1.75,9.30E+06,10000,3120.4382,0,0,1,0.11856,0.4411,0.268782589
1,0,0,2,1.10E+07,10000,4075.6743,0,0,1,0.116285,0.411,0.282931873
1,0,0,2.5,1.30E+07,10000,6368.2412,0,0,1,0.10998,0.3526,0.311911514
1,0,0,3,1.60E+07,10000,9170.2676,0,0,1,0.104585,0.3012,0.347227756
1,0,0,4,2.10E+07,10000,16302.6973,0,0,1,0.09789,0.23,0.425608696
1,0,0,1,5.30E+06,10000,1018.9186,0,0,5,1.066585,0.8069,1.321830462
1,0,0,1.25,6.70E+06,10000,1592.0603,0,0,5,0.72423,0.6229,1.162674587
1,0,0,1.5,8.00E+06,10000,2292.5669,0,0,5,0.723515,0.5777,1.252406093
1,0,0,1.75,9.30E+06,10000,3120.4382,0,0,5,0.711815,0.5405,1.316956522
1,0,0,2,1.10E+07,10000,4075.6743,0,0,5,0.70031,0.5089,1.376124975
1,0,0,2.5,1.30E+07,10000,6368.2412,0,0,5,0.669045,0.4464,1.49875672
1,0,0,3,1.60E+07,10000,9170.2676,0,0,5,0.642395,0.3915,1.640855683
1,0,0,4,2.10E+07,10000,16302.6973,0,0,5,0.608205,0.3158,1.925918303
1,0,0,1,5.30E+06,10000,1018.9186,0,0,10,2.254265,1.2778,1.76417671
1,0,0,1.25,6.70E+06,10000,1592.0603,0,0,10,1.683175,0.9942,1.692994367
1,0,0,1.5,8.00E+06,10000,2292.5669,0,0,10,1.75916,0.977,1.800573183
1,0,0,1.75,9.30E+06,10000,3120.4382,0,0,10,1.73706,0.9352,1.857420873
1,0,0,2,1.10E+07,10000,4075.6743,0,0,10,1.715285,0.8991,1.907780002
1,0,0,2.5,1.30E+07,10000,6368.2412,0,0,10,1.66205,0.8262,2.011679981
1,0,0,3,1.60E+07,10000,9170.2676,0,0,10,1.62539,0.7647,2.12552635
1,0,0,4,2.10E+07,10000,16302.6973,0,0,10,1.56026,0.6756,2.309443458
1,0,0,1,5.30E+06,10000,1018.9186,0,0,15,3.620175,2.1632,1.673527644
1,0,0,1.25,6.70E+06,10000,1592.0603,0,0,15,2.71817,1.6744,1.623369565
1,0,0,1.5,8.00E+06,10000,2292.5669,0,0,15,2.90914,1.7234,1.688023674
1,0,0,1.75,9.30E+06,10000,3120.4382,0,0,15,2.925065,1.6979,1.722754579
1,0,0,2,1.10E+07,10000,4075.6743,0,0,15,2.89354,1.6546,1.748785205
1,0,0,2.5,1.30E+07,10000,6368.2412,0,0,15,2.85636,1.5803,1.807479592
1,0,0,3,1.60E+07,10000,9170.2676,0,0,15,2.800915,1.5056,1.860331429
1,0,0,4,2.10E+07,10000,16302.6973,0,0,15,2.58999,1.3467,1.923212297
1,0,0,1,5.30E+06,10000,1018.9186,0,0,20,5.14488,3.5585,1.445800197
1,0,0,1.25,6.70E+06,10000,1592.0603,0,0,20,4.02831,2.8376,1.419618692
1,0,0,1.5,8.00E+06,10000,2292.5669,0,0,20,4.179175,2.8864,1.447884909
1,0,0,1.75,9.30E+06,10000,3120.4382,0,0,20,4.33979,2.9546,1.468824883
1,0,0,2,1.10E+07,10000,4075.6743,0,0,20,4.291365,2.9001,1.479730009
1,0,0,2.5,1.30E+07,10000,6368.2412,0,0,20,4.17625,2.7762,1.504304445
1,0,0,3,1.60E+07,10000,9170.2676,0,0,20,3.989245,2.6191,1.52313581
1,0,0,4,2.10E+07,10000,16302.6973,0,0,20,3.698435,2.3835,1.5516824
1,0,0,1,2.80E+06,30000,440.7621,0,0,-5,-1.066455,0.8092,-1.317912753
1,0,0,1.25,3.50E+06,30000,688.6908,0,0,-5,-0.72423,0.6229,-1.162674587
1,0,0,1.5,4.30E+06,30000,991.7147,0,0,-5,-0.723515,0.5777,-1.252406093
1,0,0,1.75,5.00E+06,30000,1349.834,0,0,-5,-0.711815,0.5405,-1.316956522
1,0,0,2,5.70E+06,30000,1763.0485,0,0,-5,-0.70031,0.5089,-1.376124975
1,0,0,2.5,7.10E+06,30000,2754.7632,0,0,-5,-0.668915,0.4483,-1.492114655
1,0,0,3,8.50E+06,30000,3966.8589,0,0,-5,-0.641875,0.3998,-1.605490245
1,0,0,4,1.10E+07,30000,7052.1938,0,0,-5,-0.607425,0.3296,-1.842915655
1,0,0,1,2.80E+06,30000,440.7621,0,0,-1,-0.19669,0.6698,-0.293654822
1,0,0,1.25,3.50E+06,30000,688.6908,0,0,-1,-0.12246,0.5228,-0.234238715
1,0,0,1.5,4.30E+06,30000,991.7147,0,0,-1,-0.1209,0.4767,-0.253618628
1,0,0,1.75,5.00E+06,30000,1349.834,0,0,-1,-0.11856,0.4411,-0.268782589
1,0,0,2,5.70E+06,30000,1763.0485,0,0,-1,-0.116285,0.411,-0.282931873
1,0,0,2.5,7.10E+06,30000,2754.7632,0,0,-1,-0.10998,0.3545,-0.310239774
1,0,0,3,8.50E+06,30000,3966.8589,0,0,-1,-0.10452,0.3096,-0.337596899
1,0,0,4,1.10E+07,30000,7052.1938,0,0,-1,-0.09776,0.2439,-0.400820008
1,0,0,1,2.80E+06,30000,440.7621,0,0,0,0,0.6643,0
1,0,0,1.25,3.50E+06,30000,688.6908,0,0,0,0,0.5192,0
1,0,0,1.5,4.30E+06,30000,991.7147,0,0,0,0,0.4731,0
1,0,0,1.75,5.00E+06,30000,1349.834,0,0,0,0,0.4376,0
1,0,0,2,5.70E+06,30000,1763.0485,0,0,0,0,0.4076,0
1,0,0,2.5,7.10E+06,30000,2754.7632,0,0,0,0,0.3513,0
1,0,0,3,8.50E+06,30000,3966.8589,0,0,0,0,0.3065,0
1,0,0,4,1.10E+07,30000,7052.1938,0,0,0,0,0.241,0
1,0,0,1,2.80E+06,30000,440.7621,0,0,1,0.19669,0.6698,0.293654822
1,0,0,1.25,3.50E+06,30000,688.6908,0,0,1,0.12246,0.5228,0.234238715
1,0,0,1.5,4.30E+06,30000,991.7147,0,0,1,0.1209,0.4767,0.253618628
1,0,0,1.75,5.00E+06,30000,1349.834,0,0,1,0.11856,0.4411,0.268782589
1,0,0,2,5.70E+06,30000,1763.0485,0,0,1,0.116285,0.411,0.282931873
1,0,0,2.5,7.10E+06,30000,2754.7632,0,0,1,0.10998,0.3545,0.310239774
1,0,0,3,8.50E+06,30000,3966.8589,0,0,1,0.10452,0.3096,0.337596899
1,0,0,4,1.10E+07,30000,7052.1938,0,0,1,0.09776,0.2439,0.400820008
1,0,0,1,2.80E+06,30000,440.7621,0,0,5,1.066455,0.8092,1.317912753
1,0,0,1.25,3.50E+06,30000,688.6908,0,0,5,0.72423,0.6229,1.162674587
1,0,0,1.5,4.30E+06,30000,991.7147,0,0,5,0.723515,0.5777,1.252406093
1,0,0,1.75,5.00E+06,30000,1349.834,0,0,5,0.711815,0.5405,1.316956522
1,0,0,2,5.70E+06,30000,1763.0485,0,0,5,0.70031,0.5089,1.376124975
1,0,0,2.5,7.10E+06,30000,2754.7632,0,0,5,0.668915,0.4483,1.492114655
1,0,0,3,8.50E+06,30000,3966.8589,0,0,5,0.641875,0.3998,1.605490245
1,0,0,4,1.10E+07,30000,7052.1938,0,0,5,0.607425,0.3296,1.842915655
1,0,0,1,2.80E+06,30000,440.7621,0,0,10,2.254005,1.28,1.760941406
1,0,0,1.25,3.50E+06,30000,688.6908,0,0,10,1.683175,0.9942,1.692994367
1,0,0,1.5,4.30E+06,30000,991.7147,0,0,10,1.75916,0.977,1.800573183
1,0,0,1.75,5.00E+06,30000,1349.834,0,0,10,1.73706,0.9352,1.857420873
1,0,0,2,5.70E+06,30000,1763.0485,0,0,10,1.715285,0.8991,1.907780002
1,0,0,2.5,7.10E+06,30000,2754.7632,0,0,10,1.661855,0.828,2.007071256
1,0,0,3,8.50E+06,30000,3966.8589,0,0,10,1.62448,0.7729,2.101798422
1,0,0,4,1.10E+07,30000,7052.1938,0,0,10,1.5587,0.6891,2.261935858
1,0,0,1,2.80E+06,30000,440.7621,0,0,15,3.61985,2.1653,1.671754491
1,0,0,1.25,3.50E+06,30000,688.6908,0,0,15,2.71817,1.6744,1.623369565
1,0,0,1.5,4.30E+06,30000,991.7147,0,0,15,2.90914,1.7234,1.688023674
1,0,0,1.75,5.00E+06,30000,1349.834,0,0,15,2.925065,1.6979,1.722754579
1,0,0,2,5.70E+06,30000,1763.0485,0,0,15,2.89354,1.6546,1.748785205
1,0,0,2.5,7.10E+06,30000,2754.7632,0,0,15,2.856035,1.5821,1.805217749
1,0,0,3,8.50E+06,30000,3966.8589,0,0,15,2.79955,1.5135,1.849719194
1,0,0,4,1.10E+07,30000,7052.1938,0,0,15,2.587715,1.3598,1.903011472
1,0,0,1,2.80E+06,30000,440.7621,0,0,20,5.144425,3.5605,1.444860272
1,0,0,1.25,3.50E+06,30000,688.6908,0,0,20,4.02831,2.8376,1.419618692
1,0,0,1.5,4.30E+06,30000,991.7147,0,0,20,4.179175,2.8864,1.447884909
1,0,0,1.75,5.00E+06,30000,1349.834,0,0,20,4.33979,2.9546,1.468824883
1,0,0,2,5.70E+06,30000,1763.0485,0,0,20,4.291365,2.9001,1.479730009
1,0,0,2.5,7.10E+06,30000,2754.7632,0,0,20,4.17586,2.7779,1.503243457
1,0,0,3,8.50E+06,30000,3966.8589,0,0,20,3.98749,2.6266,1.51811848
1,0,0,4,1.10E+07,30000,7052.1938,0,0,20,3.69551,2.396,1.542366444
1,0,0,1,1.20E+06,50000,170.5209,0,0,-5,-1.0634,0.8639,-1.230929506
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,-5,-0.722085,0.661,-1.092413011
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,-5,-0.72163,0.6113,-1.180484214
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,-5,-0.71006,0.5719,-1.241580696
1,0,0,2,2.40E+06,50000,682.0835,0,0,-5,-0.698555,0.5396,-1.294579318
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,-5,-0.667225,0.4786,-1.394118262
1,0,0,3,3.50E+06,50000,1534.6877,0,0,-5,-0.640315,0.4274,-1.498163313
1,0,0,4,4.70E+06,50000,2728.334,0,0,-5,-0.606125,0.3526,-1.719015882
1,0,0,1,1.20E+06,50000,170.5209,0,0,-1,-0.19604,0.7248,-0.270474614
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,-1,-0.122005,0.5611,-0.217438959
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,-1,-0.12051,0.5105,-0.236062684
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,-1,-0.118235,0.4727,-0.25012693
1,0,0,2,2.40E+06,50000,682.0835,0,0,-1,-0.11596,0.4419,-0.26241231
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,-1,-0.109655,0.385,-0.284818182
1,0,0,3,3.50E+06,50000,1534.6877,0,0,-1,-0.104195,0.3373,-0.308908983
1,0,0,4,4.70E+06,50000,2728.334,0,0,-1,-0.0975,0.2671,-0.365031823
1,0,0,1,1.20E+06,50000,170.5209,0,0,0,0,0.7194,0
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,0,0,0.5575,0
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,0,0,0.507,0
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,0,0,0.4692,0
1,0,0,2,2.40E+06,50000,682.0835,0,0,0,0,0.4385,0
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,0,0,0.3818,0
1,0,0,3,3.50E+06,50000,1534.6877,0,0,0,0,0.3342,0
1,0,0,4,4.70E+06,50000,2728.334,0,0,0,0,0.2641,0
1,0,0,1,1.20E+06,50000,170.5209,0,0,1,0.19604,0.7248,0.270474614
1,0,0,1.25,1.50E+06,50000,266.4388,0,0,1,0.122005,0.5611,0.217438959
1,0,0,1.5,1.80E+06,50000,383.6719,0,0,1,0.12051,0.5105,0.236062684
1,0,0,1.75,2.10E+06,50000,522.2202,0,0,1,0.118235,0.4727,0.25012693
1,0,0,2,2.40E+06,50000,682.0835,0,0,1,0.11596,0.4419,0.26241231
1,0,0,2.5,3.00E+06,50000,1065.7554,0,0,1,0.109655,0.385,0.284818182
